,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,done,"Warm memories bloom, 'til the long day is done.",14,True
33,"Love is the flame that gentle does rise,",rise,dies,supplies,And hope is the fuel that forever supplies.,25,True
34,"Fury burns where calm once stayed,",stayed,stayed,unafraid,"And shadows lengthen, unafraid.",69,True
35,"Justice weeps in shadowed halls,",halls,halls,calls,While silence answers freedom's calls.,34,True
36,"Neon hums where tall shadows play,",play,grey,day,And secrets whisper at the close of day.,82,True
37,"Whispers coil like shadows in the mind’s tight maze,",maze,maze,daze,Where lost desires flicker in a hazy daze.,56,True
38,"Anger boils like storm in night,",night,light,light,"...Consuming reason, dimming light.",49,True
39,"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise,",disguise,dies,dies,A venomous bloom where true affection dies.,27,True
40,"Whispers coil like shadows, cold and tight,",tight,light,light,As darkness deepens with the fading light.,33,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,day,Hope dawns anew with each and every day.,33,True
42,"In shadowed silence, time's hourglass bleeds,",bleeds,bleeds,deeds,And whispers secrets of forgotten deeds.,95,True
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,told,cold,And summer's warmth now grows quite cold.,57,True
44,"The shadows stretch where laughter once was bright,",bright,light,night,And silence falls with the approaching night.,74,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,grace,Stars begin to glimmer with delicate grace.,62,True
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,night,And chases away the darkness of night.,4,True
47,"Winds whisper secrets of roads yet to be trod,",trod,trod,god,And stars chart journeys guided by God.,9,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,face,And moonbeams whisper secrets of your face.,11,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,grown,And watch as the seeds of my past have grown.,39,True
50,"In whispers of light, the soul finds its creed,",creed,creed,seed,"And blooms in the silence, a blossoming seed.",61,True
51,"Freedom soars where chains once clung,",clung,clung,sung,And silenced voices now are sung.,19,True
52,"A hand clasped in thine can also cut the deepest,",deepest,deepest,steepest,For trust betrayed is where true sorrow steepest.,38,True
53,"The reaper’s shadow lengthens with the noon,",noon,noon,soon,And whispers tales of harvests coming soon.,23,True
54,"Blossoms bloom where laughter finds its way,",way,grey,day,And sunshine dances with each passing day.,96,True
55,"Threads of love woven through the years,",years,years,fears,Bring sunshine to dispel all fears.,62,True
56,"Winds of liberty whisper through chains of control,",control,soul,soul,And hope's gentle ember ignites in the soul.,58,True
57,Whispers of velvet and hues that sing—,sing,sing,wing,"—A twilight garden, where dreams take wing.",48,True
58,"A shadow fades where the flame won’t die,",die,sigh,fly,And hope remains as the lost years fly.,17,True
59,"Whispers through the grass where the wild things dance,",dance,dance,glance,"A fleeting, sun-kissed, enchanting glance.",57,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,me,"A silent language, just you and me.",100,True
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,grace,And nature awakens with vibrant grace.,55,True
62,"In every flaw, a whisper of perfection's breath,",breath,breath,death,"And even in darkness, a hint of life and death.",75,True
65,"In the dance of flaw and flawless light,",light,light,might,A shadowed truth reveals its might.,54,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,space,Carry secrets of time and a long-lost space.,70,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,deep,"Lost secrets lie in slumber, dark and deep.",74,True
68,"When whispered vows turn cold as winter skies,",skies,dies,dies,And love's sweet warmth within the heart now dies.,77,True
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,long,"Where love's sweet echo lingers, all life long.",6,True
70,"In brushstrokes of dawn, wild imagination ascends,",ascends,ascends,transcends,And paints a new world where wonder transcends.,4,True
71,"Like thunder chained to silent stone,",stone,stone,alone,"A heart that aches, yet beats alone.",72,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,woe,Reflects a world of sorrow and woe.,81,True
73,"In the hush between breaths, the sacred stirs,",stirs,years,prefers,"And whispers of wonder, the heart prefers.",72,True
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,maze,haze,And secrets unfold in the silvery haze.,15,True
75,"A heartbeat hums where light once passed,",passed,past,fast,"Now shadows lengthen, holding fast.",78,True
76,"Colors whisper tales in hues once unknown,",unknown,stone,sown,And paint the world with dreams beautifully sown.,22,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,spring,"Though bound by grief, on hopeful wings it spring.",5,True
78,"A whispered vow can fracture like glass beneath the heel of deceit,",deceit,deceit,incomplete,"And a loving heart can wither, a beautiful garden incomplete.",15,True
79,"It blooms in whispers, not in storm,",storm,storm,warm,"A quiet beauty, gentle and warm.",96,True
80,"I walked through the shadows where childhood once stayed,",stayed,stayed,strayed,And found all the dreams that had faded and strayed.,48,True
81,"Whispers of winds through ancient green trees,",trees,trees,breeze,Carry secrets on the gentle breeze.,42,True
82,"Whispers of yesterday dance on the winds of time,",time,time,rhyme,Lost in the echoes of a forgotten rhyme.,31,True
83,"Together we rise, woven as one,",one,spun,sun,"Beneath the same sky, 'til the setting of sun.",99,True
85,"Justice weeps in shadowed halls,",halls,halls,calls,While silence answers freedom's calls.,59,True
86,"Laughter echoes down the lane where sunlit days once played,",played,stayed,swayed,"Now just a whisper of memories, gently swayed.",96,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,dream,"And carry with them memories, a half-forgotten dream.",38,True
88,"The road unwinds its thread through mist and sun,",sun,spun,begun,And leads to dreams of journeys just begun.,69,True
90,"Through shared beginnings and paths that diverge,",diverge,diverge,surge,Our hearts still remember the emotional surge.,10,True
91,"In shadows deep where hope once danced with light,",light,light,night,Now sorrow reigns throughout the endless night.,43,True
92,"In shadow's grip, cannon-light whispers of rage,",rage,rage,page,As iron birds descend upon history's page.,9,True
93,"In laughter’s glow, where trust is sown,",sown,stone,shown,A friendship’s beauty brightly shown.,60,True
94,"Voices echo, yet no hearts collide,",collide,collide,hide,"Lost in shadows, where true feelings hide.",30,True
95,"Though shadows stretch where light once bloomed,",bloomed,bloomed,consumed,Hope's gentle ember is not yet consumed.,62,True
96,"In the shadowed heart where two winds meet,",meet,deceit,bittersweet,"Lies a whispered promise, bittersweet.",29,True
97,"Beneath the silence where whispers used to play,",play,grey,away,Now shadows lengthen and steal the light away.,91,True
98,"With trembling hands, I reach to light the flame,",flame,name,name,And whisper softly a beloved name.,67,True
99,"Two hearts entwined, a promise made,",made,stayed,displayed,A love story beautifully displayed.,51,True
100,"In twilight’s hush, where hearts exhale,",exhale,exhale,tale,"Lost dreams resurface, a wistful tale.",94,True
101,"The shadows whisper threats they cannot name,",name,name,flame,And chilling winds now fan a ghostly flame.,43,True
102,"Silhouettes of solitude etched deep in vacant skies,",skies,dies,dies,Where whispered longings bloom and fading daylight dies.,61,True
104,"Footprints in the dust of days gone by,",by,sigh,sky,Whispers of stories beneath the sky.,77,True
105,"The reaper whispers soft through every age,",age,rage,page,And turns life's vibrant story to a page.,22,True
106,"Amidst the buzz of concrete dreams, the country’s clockwork hums in rural streams,",streams,dreams,gleams,And city lights give way to firefly gleams.,92,True
