,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
34,"Fury burns where calm once stayed,",stayed,stayed,betrayed,"A storm of rage, a heart betrayed.",75,True
35,"Justice weeps in shadowed halls,",halls,halls,calls,"Where truth is lost, and silence calls.",50,True
36,"Neon hums where tall shadows play,",play,grey,ballet,"In the city's heart, night's ballet.",134,True
37,"Whispers coil like shadows in the mind’s tight maze,",maze,maze,days,Where thoughts and dreams entwine in a dance of days.,130,True
38,"Anger boils like storm in night,",night,light,light,"Peaceful calm, a soothing light.",159,True
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,told,unfold,"In the heart of the forest, where the secrets unfold.",149,True
44,"The shadows stretch where laughter once was bright,",bright,light,flight,"A memory fades, a heart takes flight.",53,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,race,"The stars in their silent, celestial race.",97,True
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,flight,"A fleeting hope, a fragile sight, in the darkness, it takes flight.",138,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,race,"A distant love, a dream, a silent, endless race.",0,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,own,A tapestry woven with threads of my own.,27,True
50,"In whispers of light, the soul finds its creed,",creed,creed,freed,"A dance of shadows, where dreams are freed.",38,True
51,"Freedom soars where chains once clung,",clung,clung,sung,"In hearts that beat, the spirit sung.",101,True
53,"The reaper’s shadow lengthens with the noon,",noon,noon,soon,As summer’s warmth begins to fade soon.,51,True
59,"Whispers through the grass where the wild things dance,",dance,dance,romance,"A symphony of life, a timeless romance.",160,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,be,"Two hearts entwined, forever to be.",124,True
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,trace,"Nature’s symphony, a dance of life, in every gentle trace.",91,True
63,"Beneath the mask that cloaks the soul, the mirror cracks with whispered toll,",toll,soul,roll,"A fleeting glimpse of truth untold, the heart's true essence starts to roll.",72,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,grace,A dance of leaves in the moonlit night's grace.,43,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,keep,"A dance of light and darkness, secrets keep.",49,True
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,strong,"In the dance of love, two souls become one strong.",48,True
71,"Like thunder chained to silent stone,",stone,stone,alone,The storm's fierce heart is all alone.,152,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,flow,"A celestial body, in the night's dark flow.",88,True
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,maze,ways,"In the dance of shadows, love finds its timeless ways.",162,True
75,"A heartbeat hums where light once passed,",passed,past,cast,A shadowed path where dreams are cast.,101,True
76,"Colors whisper tales in hues once unknown,",unknown,stone,own,"In the canvas of life, they paint their own.",97,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,cling,"A melody of hope, where love does cling.",6,True
80,"I walked through the shadows where childhood once stayed,",stayed,stayed,fade,"Now I'm lost in the darkness, where memories fade.",19,True
81,"Whispers of winds through ancient green trees,",trees,trees,breeze,Echoes of laughter in the summer breeze.,23,True
82,"Whispers of yesterday dance on the winds of time,",time,time,sublime,"Echoes of laughter, a melody sublime.",66,True
83,"Together we rise, woven as one,",one,spun,begun,"A tapestry of love, forever begun.",96,True
84,"Time’s tapestry threads with echoes of yore,",yore,soar,explore,"In every moment, a story to explore.",34,True
85,"Justice weeps in shadowed halls,",halls,halls,calls,"Where truth is lost, and silence calls.",63,True
86,"Laughter echoes down the lane where sunlit days once played,",played,stayed,weighed,"In the heart of childhood's joy, where dreams were never weighed.",38,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,dream,"A fleeting moment, a whisper, a dream.",141,True
88,"The road unwinds its thread through mist and sun,",sun,spun,spun,"A journey's start, where dreams are spun.",96,True
90,"Through shared beginnings and paths that diverge,",diverge,diverge,converge,"We find our way, and our hearts converge.",87,True
91,"In shadows deep where hope once danced with light,",light,light,night,A heart once pure now bears the weight of night.,84,True
93,"In laughter’s glow, where trust is sown,",sown,stone,known,"A bond of love, forever known.",31,True
94,"Voices echo, yet no hearts collide,",collide,collide,wide,"In this digital age, we're all just a screen wide.",88,True
95,"Though shadows stretch where light once bloomed,",bloomed,bloomed,doomed,"In darkness, hope is never doomed.",156,True
96,"In the shadowed heart where two winds meet,",meet,deceit,beat,"A whisper of love, a silent beat.",84,True
97,"Beneath the silence where whispers used to play,",play,grey,away,"A heart that's broken, a love that's gone away.",124,True
98,"With trembling hands, I reach to light the flame,",flame,name,same,"But in my heart, I know it's not the same.",77,True
99,"Two hearts entwined, a promise made,",made,stayed,swayed,"In love's sweet embrace, we're never swayed.",102,True
101,"The shadows whisper threats they cannot name,",name,name,claim,"As darkness falls, and fear takes its claim.",116,True
102,"Silhouettes of solitude etched deep in vacant skies,",skies,dies,rise,"A canvas of dreams, where the heart's whispers rise.",120,True
104,"Footprints in the dust of days gone by,",by,sigh,sigh,"Echoes of laughter, a memory to sigh.",9,True
105,"The reaper whispers soft through every age,",age,rage,stage,A timeless dance of life and death we stage.,7,True
113,"Whispers of spring in the thawing snow's breath,",breath,breath,death,"Life stirs anew, in the earth's gentle death.",101,True
116,"Silent nights where echoes dwell,",dwell,dwell,spell,Whispers of the moon's soft spell.,129,True
120,"Pack the sunrise in your pocket, let the roads unwind like time,",time,time,rhyme,"With every mile, a story told, in every turn, a rhyme.",113,True
121,"Love is the fire that warms both heart and home,",home,home,roam,"A bond that's strong, a flame that will never roam.",27,True
123,"Winds whisper tales of roads unseen,",unseen,unseen,convene,"In twilight's hush, where dreams convene.",124,True
124,"In the quiet dawn, where prayers and petals rise,",rise,dies,wise,"A gentle breeze whispers, ""Let your heart be wise.",36,True
125,"A bond untouched by time or fate,",fate,fate,late,A love that's pure and never late.,8,True
128,"In starlit whispers, my hopes take flight,",flight,light,light,"A dreamer's heart, in the moon's soft light.",30,True
129,"The road unfolds like whispered dreams in dawn's embrace,",embrace,embrace,place,"A journey's path, where every step is a new place.",156,True
130,"The earth whispers tales through rustling green,",green,unseen,unseen,"A symphony of life, a world unseen.",77,True
131,"In shadows cast by city lights, a thousand souls feel night,",night,light,unite,"A symphony of dreams and fears, in silence, they unite.",75,True
132,"Beneath the brush of dawn’s soft light,",light,light,sight,The world awakes in morning’s sight.,51,True
133,"The hush of time whispers tales of the old,",old,told,unfold,"In the quiet of night, secrets unfold.",151,True
134,"In the quiet space where heartbeats blend,",blend,blend,defend,"Two souls entwined, a love to defend.",90,True
138,"Whispers of winds through ancient tree songs flow,",flow,glow,grow,"In twilight's embrace, secrets softly grow.",147,True
139,"Whispers of crimson, symphonies in every thread,",thread,thread,spread,"A tapestry woven, where beauty is spread.",61,True
140,"In laughter's wake, where memory weaves,",weaves,weaves,cleaves,"A tapestry of joy, it cleaves.",99,True
141,"Winds of freedom whisper where chains forgot to fall,",fall,fall,call,"In the heart of the storm, a new dawn shall call.",20,True
144,"In the golden glow of dusk, I chase the echoes of summer's hush,",hush,hush,brush,"With every step, a story unfolds, in the dance of leaves and rustling brush.",63,True
145,"Together we rise, bound by more than shared skies,",skies,dies,lies,"A bond that endures, through time and through lies.",19,True
147,"Joy dances bright where kind hearts meet,",meet,deceit,defeat,"In love's warm light, all fears defeat.",90,True
149,"Like morning dew on petals soft and new,",new,new,true,"A love so pure, a bond so strong and true.",48,True
150,"Wings of dawn clash with iron night,",night,light,flight,"In the sky, a battle takes flight.",102,True
151,"Brushstrokes weave the silent song of imagination’s flame,",flame,name,name,"In every hue, a story told, in every line, a name.",46,True
152,"Whispers of the past dance on the breeze,",breeze,trees,tease,"Echoes of love, a timeless tease.",134,True
156,"Two hearts entwined, a vow so true,",true,new,anew,Together we'll face whatever comes anew.,97,True
158,"Like shadows at the close of day,",day,grey,stray,"We drift apart, but never stray.",84,True
159,"Whispers of wind through the emerald embrace,",embrace,embrace,space,"Nature's symphony, a tranquil space.",152,True
160,"Whispers of absence haunt the halls where laughter used to play,",play,grey,day,"Echoes of love linger on, in the silence of the day.",74,True
161,"Beneath the mask, the true self stirs,",stirs,years,purrs,"A hidden world, a secret purrs.",91,True
162,"Colors whisper secrets where wild imaginations tread,",tread,thread,wed,"In the realm of dreams, where the heart and mind are wed.",120,True
