,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
73,"In the hush between breaths, the sacred stirs,",stirs,years,prefers,"A silent promise, the soul prefers.",57,True
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,maze,maze,"Lost in the forest's embrace, a timeless, hazy maze.",75,True
75,"A heartbeat hums where light once passed,",passed,past,fast,"A silent echo, fading fast.",82,True
76,"Colors whisper tales in hues once unknown,",unknown,stone,shown,"A vibrant tapestry, beautifully shown.",86,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,thing,"A silent plea, a hopeful, fragile thing.",7,True
79,"It blooms in whispers, not in storm,",storm,storm,warm,"A quiet beauty, keeping warm.",5,True
80,"I walked through the shadows where childhood once stayed,",stayed,stayed,swayed,"And memories lingered, bittersweet and swayed.",77,True
81,"Whispers of winds through ancient green trees,",trees,trees,ease,"A peaceful solace, a tranquil ease.",91,True
82,"Whispers of yesterday dance on the winds of time,",time,time,sublime,"Leaving echoes of memories, sublime.",81,True
83,"Together we rise, woven as one,",one,spun,begun,"Beneath the sun, our journey begun.",18,True
85,"Justice weeps in shadowed halls,",halls,halls,falls,As truth's bright light slowly falls.,87,True
86,"Laughter echoes down the lane where sunlit days once played,",played,stayed,shade,"A memory of joy, a sweet and cherished shade.",25,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,dream,"Lost in the quiet of a peaceful, fading dream.",6,True
88,"The road unwinds its thread through mist and sun,",sun,spun,begun,"A journey's start, a race that's just begun.",18,True
90,"Through shared beginnings and paths that diverge,",diverge,diverge,surge,"Our hearts, though intertwined, now gently surge.",107,True
91,"In shadows deep where hope once danced with light,",light,light,night,"Now darkness reigns, a mournful, endless night.",60,True
92,"In shadow's grip, cannon-light whispers of rage,",rage,rage,stage,"As empires clash, upon history's stage.",47,True
93,"In laughter’s glow, where trust is sown,",sown,stone,known,"A friendship’s bond, uniquely known.",34,True
94,"Voices echo, yet no hearts collide,",collide,collide,hide,"Lost in silence, where true feelings hide.",108,True
96,"In the shadowed heart where two winds meet,",meet,deceit,bittersweet,"A silent sorrow, bittersweet.",66,True
97,"Beneath the silence where whispers used to play,",play,grey,day,A lonely echo lingers through the day.,111,True
98,"With trembling hands, I reach to light the flame,",flame,name,name,"And banish shadows, whispering my name.",45,True
99,"Two hearts entwined, a promise made,",made,stayed,fade,A love like ours will never fade.,76,True
100,"In twilight’s hush, where hearts exhale,",exhale,exhale,tale,"A silent promise, a gentle tale.",11,True
101,"The shadows whisper threats they cannot name,",name,name,shame,"As darkness gathers, fueling fear and shame.",46,True
102,"Silhouettes of solitude etched deep in vacant skies,",skies,dies,flies,"A lonely echo of a promise, lost before it flies.",10,True
104,"Footprints in the dust of days gone by,",by,sigh,sky,Whispers of the past beneath the sky.,69,True
105,"The reaper whispers soft through every age,",age,rage,page,"Turning a new and silent, shadowed page.",35,True
107,"Two hearts entwined where vows take root,",root,root,loot,"A love like this, a precious loot.",71,True
108,"In the shadows, whispers rise—half angel, half abyss,",abyss,abyss,kiss,"A haunting beauty, a silent plea—a timeless, tragic kiss.",34,True
110,"The scales of justice tremble with truth, while shadows feast on the cries of the unjust,",unjust,unjust,trust,"A silent plea for balance, a desperate need for trust.",94,True
111,"The thunder in his chest begins to roar,",roar,soar,score,As he prepares to settle the score.,74,True
113,"Whispers of spring in the thawing snow's breath,",breath,breath,death,"A promise of blossoms, defying death.",57,True
114,"The elder chants as clocks devour time,",time,time,rhyme,"A mystic ritual, a sacred rhyme.",110,True
115,"Roots whispered in stories older than stone,",stone,stone,unknown,"Of ancient magic, a kingdom unknown.",50,True
116,"Silent nights where echoes dwell,",dwell,dwell,spell,"A peaceful story, a magic spell.",66,True
117,"Amber whispers brush the breeze,",breeze,trees,trees,As golden leaves fall through the trees.,85,True
118,"Autumn's breath whispers through the trees,",trees,trees,breeze,As golden leaves dance on the breeze.,27,True
