,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
40,"Whispers coil like shadows, cold and tight,",tight,light,light,Stealing warmth and dimming all the light.,68,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,day,A hopeful promise brightens every day.,50,True
42,"In shadowed silence, time's hourglass bleeds,",bleeds,bleeds,needs,"With grains of memory, fulfilling needs.",29,True
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,told,old,"Of summer's warmth, now growing old.",34,True
44,"The shadows stretch where laughter once was bright,",bright,light,light,Now silence reigns throughout the fading light.,36,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,grace,The stars ignite with celestial grace.,102,True
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,bright,And hope's gentle promise softly glimmers bright.,69,True
47,"Winds whisper secrets of roads yet to be trod,",trod,trod,god,"And sunlight dances, a gift from above, God.",110,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,place,And moonlight whispers secrets in this lonely place.,75,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,unknown,"And find a stranger staring back, utterly unknown.",67,True
50,"In whispers of light, the soul finds its creed,",creed,creed,seed,"And shadows recede, planting a hopeful seed.",3,True
51,"Freedom soars where chains once clung,",clung,clung,sung,And hope's sweet song is brightly sung.,10,True
53,"The reaper’s shadow lengthens with the noon,",noon,noon,soon,"A chilling omen, fading all too soon.",12,True
54,"Blossoms bloom where laughter finds its way,",way,grey,day,And sunshine dances through a brighter day.,45,True
55,"Threads of love woven through the years,",years,years,fears,"A tapestry bright, dispelling all fears.",68,True
56,"Winds of liberty whisper through chains of control,",control,soul,soul,And hope's fragile ember ignites a burning soul.,23,True
57,Whispers of velvet and hues that sing—,sing,sing,cling,"A twilight canvas, where shadows cling.",41,True
58,"A shadow fades where the flame won’t die,",die,sigh,sky,A whispered hope beneath a watchful sky.,28,True
59,"Whispers through the grass where the wild things dance,",dance,dance,trance,"Beneath the moon's soft, silvery trance.",96,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,me,"A silent promise, for you and for me.",67,True
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,place,"And sunlight dances, chasing shadows from this place.",65,True
62,"In every flaw, a whisper of perfection's breath,",breath,breath,death,And beauty blooms where shadows dance with death.,51,True
65,"In the dance of flaw and flawless light,",light,light,flight,A shadowed beauty takes its flight.,22,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,face,A timeless story etched upon its face.,67,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,keep,A silent promise secrets softly keep.,106,True
68,"When whispered vows turn cold as winter skies,",skies,dies,eyes,A frozen heart reflects in tearful eyes.,60,True
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,belong,"And souls entwine, where they belong.",80,True
70,"In brushstrokes of dawn, wild imagination ascends,",ascends,ascends,bends,"With colors of dreams, where reality bends.",51,True
71,"Like thunder chained to silent stone,",stone,stone,known,"A captive echo, deeply known.",73,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,below,"A silent moon, in the velvet below.",77,True
73,"In the hush between breaths, the sacred stirs,",stirs,years,confers,"A silent promise, the universe confers.",81,True
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,maze,haze,"Lost in dreams of starlight, through a silver haze.",6,True
75,"A heartbeat hums where light once passed,",passed,past,fast,"A memory lingers, fading fast.",4,True
76,"Colors whisper tales in hues once unknown,",unknown,stone,shown,"Worlds bloom anew, beautifully shown.",77,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,thing,"Though hope may fade, a fragile, trembling thing.",87,True
79,"It blooms in whispers, not in storm,",storm,storm,warm,"A fragile beauty, gentle and warm.",74,True
80,"I walked through the shadows where childhood once stayed,",stayed,stayed,parade,"And memories flickered, a bittersweet parade.",16,True
81,"Whispers of winds through ancient green trees,",trees,trees,ease,Rustling their leaves with a gentle ease.,83,True
82,"Whispers of yesterday dance on the winds of time,",time,time,rhyme,Lost echoes of laughter in a forgotten rhyme.,27,True
83,"Together we rise, woven as one,",one,spun,begun,"Our strength and our spirit, forever begun.",5,True
84,"Time’s tapestry threads with echoes of yore,",yore,soar,adore,Woven with moments we cherish and adore.,16,True
85,"Justice weeps in shadowed halls,",halls,halls,falls,Where truth lies bound and freedom falls.,101,True
86,"Laughter echoes down the lane where sunlit days once played,",played,stayed,swayed,"Now shadows lengthen, memories gently swayed.",51,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,dream,"And memories surface, a half-forgotten dream.",44,True
88,"The road unwinds its thread through mist and sun,",sun,spun,begun,"A journey starts, though barely yet begun.",33,True
90,"Through shared beginnings and paths that diverge,",diverge,diverge,surge,"Our memories linger, a comforting surge.",101,True
91,"In shadows deep where hope once danced with light,",light,light,night,Now sorrow reigns throughout the lonely night.,71,True
92,"In shadow's grip, cannon-light whispers of rage,",rage,rage,stage,"Across the field, a fiery, crimson stage.",98,True
93,"In laughter’s glow, where trust is sown,",sown,stone,shown,"A bond of friendship, brightly shown.",42,True
94,"Voices echo, yet no hearts collide,",collide,collide,hide,"Lost in whispers, where feelings hide.",72,True
95,"Though shadows stretch where light once bloomed,",bloomed,bloomed,perfumed,"A memory lingers, softly perfumed.",11,True
96,"In the shadowed heart where two winds meet,",meet,deceit,bittersweet,"A whispered secret, bittersweet.",42,True
97,"Beneath the silence where whispers used to play,",play,grey,day,A haunting echo lingers through the day.,10,True
98,"With trembling hands, I reach to light the flame,",flame,name,name,"And chase away the shadows, whispering my name.",65,True
99,"Two hearts entwined, a promise made,",made,stayed,displayed,A love story beautifully displayed.,35,True
100,"In twilight’s hush, where hearts exhale,",exhale,exhale,prevail,A gentle peace begins to prevail.,68,True
101,"The shadows whisper threats they cannot name,",name,name,flame,"And darkness dances, fueled by fear and flame.",34,True
102,"Silhouettes of solitude etched deep in vacant skies,",skies,dies,dies,A silent promise whispered as the daylight dies.,94,True
104,"Footprints in the dust of days gone by,",by,sigh,fly,Whispers of stories as the moments fly.,72,True
105,"The reaper whispers soft through every age,",age,rage,page,"Turning life's vibrant, fleeting, fragile page.",54,True
106,"Amidst the buzz of concrete dreams, the country’s clockwork hums in rural streams,",streams,dreams,gleams,Where golden sunlight softly gleams.,99,True
107,"Two hearts entwined where vows take root,",root,root,fruit,"A love eternal, bearing precious fruit.",45,True
108,"In the shadows, whispers rise—half angel, half abyss,",abyss,abyss,miss,"A haunting beauty, born of what we miss.",62,True
110,"The scales of justice tremble with truth, while shadows feast on the cries of the unjust,",unjust,unjust,gust,"And innocence weeps, a silent, mournful gust.",80,True
111,"The thunder in his chest begins to roar,",roar,soar,door,"His anger, like a tempest, seeks the door.",25,True
