,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
54,"Blossoms bloom where laughter finds its way,",way,grey,sway,"In every breeze, a gentle sway.",189,True
56,"Winds of liberty whisper through chains of control,",control,soul,soul,"A symphony of freedom, a battle for the soul.",181,True
58,"A shadow fades where the flame won’t die,",die,sigh,sigh,"A whisper of wind, a ghostly sigh.",195,True
59,"Whispers through the grass where the wild things dance,",dance,dance,chance,A secret song that the wind can't chance.,205,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,decree,"A silent promise, a quiet decree.",68,True
65,"In the dance of flaw and flawless light,",light,light,bright,We find the truth that's not so bright.,159,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,place,A secret shared in the hush of the place.,181,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,weep,A whispering breeze through the trees does weep.,0,True
68,"When whispered vows turn cold as winter skies,",skies,dies,lies,A heart once warm now bears the weight of lies.,38,True
71,"Like thunder chained to silent stone,",stone,stone,alone,"The storm is coming, and it's not alone.",60,True
75,"A heartbeat hums where light once passed,",passed,past,last,A shadowed path where echoes last.,164,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,spring,"A haunting melody, a soul's true spring.",79,True
79,"It blooms in whispers, not in storm,",storm,storm,form,"A quiet flower, a gentle form.",219,True
81,"Whispers of winds through ancient green trees,",trees,trees,breeze,A symphony of leaves in the breeze.,180,True
82,"Whispers of yesterday dance on the winds of time,",time,time,sublime,"A fleeting echo, a shadow of the sublime.",139,True
88,"The road unwinds its thread through mist and sun,",sun,spun,begun,"A journey's end, a start, a life's begun.",114,True
91,"In shadows deep where hope once danced with light,",light,light,night,"A whisper of a dream, a fleeting night.",68,True
94,"Voices echo, yet no hearts collide,",collide,collide,tide,"In the silence, a whisper, a fleeting tide.",68,True
96,"In the shadowed heart where two winds meet,",meet,deceit,beat,"A whisper of hope, a silent beat.",68,True
97,"Beneath the silence where whispers used to play,",play,grey,day,A shadowed path leads to a forgotten day.,206,True
100,"In twilight’s hush, where hearts exhale,",exhale,exhale,tale,"A whisper of hope, a gentle tale.",134,True
101,"The shadows whisper threats they cannot name,",name,name,claim,"But in the silence, hope still claims its claim.",220,True
114,"The elder chants as clocks devour time,",time,time,rhyme,"The younger, in a world of endless rhyme.",165,True
117,"Amber whispers brush the breeze,",breeze,trees,trees,A golden flame in the trees.,142,True
118,"Autumn's breath whispers through the trees,",trees,trees,breeze,"A golden hue, a fleeting breeze.",9,True
120,"Pack the sunrise in your pocket, let the roads unwind like time,",time,time,rhyme,"And the world, a fleeting dream, slips through your fingers like a rhyme.",31,True
121,"Love is the fire that warms both heart and home,",home,home,roam,"In every breath, it finds its way to roam.",31,True
123,"Winds whisper tales of roads unseen,",unseen,unseen,screen,"Stars above, a silent screen.",91,True
124,"In the quiet dawn, where prayers and petals rise,",rise,dies,ties,"A silent promise, love's soft, enduring ties.",148,True
128,"In starlit whispers, my hopes take flight,",flight,light,light,A journey through the cosmos' light.,56,True
130,"The earth whispers tales through rustling green,",green,unseen,scene,A secret shared in the wind's soft scene.,91,True
131,"In shadows cast by city lights, a thousand souls feel night,",night,light,light,"But in the heart of every man, a spark of light.",66,True
132,"Beneath the brush of dawn’s soft light,",light,light,flight,A whisper of the day’s first flight.,220,True
133,"The hush of time whispers tales of the old,",old,told,cold,"A silent echo, a ghostly cold.",141,True
134,"In the quiet space where heartbeats blend,",blend,blend,friend,"A whisper of hope, a silent friend.",133,True
135,"Whispers of the past linger where old shadows dance,",dance,dance,chance,"A tale of love and loss, a heart that once was chance.",121,True
136,"Through storms of time, our roots hold fast,",fast,past,past,"In every heart, a spark of past.",49,True
139,"Whispers of crimson, symphonies in every thread,",thread,thread,led,"A tapestry of life, where every thread is led.",134,True
141,"Winds of freedom whisper where chains forgot to fall,",fall,fall,hall,A symphony of hope in the silence of the hall.,207,True
142,"The scales of justice sway on trembling strings,",strings,strings,sings,"A tale of truth, in shadows, sings.",130,True
148,"In whispers of time, our deeds still sing—",sing,sing,cling,"A tale of the past, a story to cling.",175,True
149,"Like morning dew on petals soft and new,",new,new,true,"So is the heart of a lover, true and true.",120,True
153,"In youth's tender bloom, my heart first knew the name of flame,",flame,name,name,"Now, in the twilight of years, I find it's just a name.",156,True
156,"Two hearts entwined, a vow so true,",true,new,clue,"In every breath, we find our clue.",169,True
158,"Like shadows at the close of day,",day,grey,play,The stars appear to dance in play.,176,True
159,"Whispers of wind through the emerald embrace,",embrace,embrace,grace,A dance of leaves in the golden grace.,21,True
164,"In shadows cast by screens we cling,",cling,sing,sting,"To dreams that fade, we're left in sting.",18,True
165,"Wander the roads where old shadows dance,",dance,dance,chance,"In the silence, a whisper, a chance.",164,True
166,"In shadows crowned, the weak wear might unseen,",unseen,unseen,seen,"But in the light, the strong are seen.",186,True
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,light,flight,"A silent symphony of life, where every leaf whispers a promise of flight.",178,True
170,"In shadows cast by silver lies,",lies,dies,cries,"A silent scream, a heart that cries.",41,True
171,"In whispered groves where the wild things dance,",dance,dance,trance,The moonlight weaves a silver trance.,180,True
175,"By the sandbox where the fireflies glow,",glow,glow,know,I found a key that led me to know.,54,True
176,"Winds of freedom whisper where chains dare not clink,",clink,clink,brink,A symphony of hope in the storm's dark brink.,20,True
178,"Beneath the map's edge, the unknown beckons soft and wide,",wide,collide,collide,"A world of secrets, where the lost and the found collide.",39,True
180,"Beneath a handshake, a dagger gleams with dew,",dew,new,view,"A silent promise, a hidden truth to view.",205,True
181,"Whispers of winter kiss the thawing spring,",spring,sing,bring,"A silent promise, time will bring.",120,True
183,"A silent tear on truth's tightrope spin,",spin,spin,grin,"A whisper of the wind, a fleeting grin.",96,True
185,"Amidst the swirl of hues and whispered air,",air,despair,rare,"A dance of shadows, fleeting and rare.",66,True
186,"Beneath soft lies, the truth wears a cloak of light,",light,light,night,"But in the shadows, the truth is a dark, silent night.",156,True
187,"Two hearts entwined where the vows take flight,",flight,light,right,"A love that's true, a love that's right.",100,True
188,"A laughter rings where sunshine stirs the air,",air,despair,care,A breeze is born from the sun's warm care.,156,True
189,"In whispered hearts where silent dreams take flight,",flight,light,night,"A fleeting touch, a whisper of the night.",34,True
190,"A breath too brief, a shadow that swallows the light,",light,light,night,"A whisper that fades, a fleeting, silent night.",101,True
191,"In shadowed hands, the torch of might is pressed,",pressed,breast,blessed,"But in the heart, a flame of light is blessed.",30,True
192,"A bond unspoken, yet stronger than time,",time,time,rhyme,"A silent promise, a quiet rhyme.",148,True
194,"Whispers weave through the woods where wild hearts roam,",roam,home,home,"A secret tale, a shadowed home.",68,True
195,"Whispers of wind through the emerald trees,",trees,trees,breeze,"A gentle breeze, a soft breeze.",153,True
196,"In the attic of my heart, old shadows dance with light,",light,light,sight,"A whisper of the past, a ghostly, fleeting sight.",77,True
201,"The scales of heaven waver in the storm,",storm,storm,form,"A whisper of fate, a shadowed form.",187,True
204,"In the silent chasm where shadows conspire,",conspire,desire,fire,"A whisper of hope, a flicker of fire.",149,True
205,"The clock’s soft breath stirs dust of bygone days,",days,maze,haze,"A whisper of the past, a ghostly haze.",123,True
206,"When silence speaks, the heart turns cold,",cold,told,bold,"But in the stillness, love is bold.",196,True
207,"In shadows where sweet promises fade,",fade,stayed,shade,A silent scream echoes through the shade.,100,True
210,"Time stitches wrinkles in the cloth of youth,",youth,youth,truth,But memory's thread weaves a loom of truth.,135,True
216,"When shadows steal the ones we held so dear,",dear,dear,tear,We find the light in every tear.,170,True
218,"Whispers of spring thaw the earth from her sleep,",sleep,sweep,deep,A gentle breeze carries the scent of the deep.,58,True
219,"With timid steps through the shadowed gate,",gate,fate,wait,I tread the path where the echoes wait.,191,True
220,"Whispers of wind weave through earth’s old rhyme,",rhyme,time,time,"A silent song, a fleeting time.",170,True
