,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
54,"Blossoms bloom where laughter finds its way,",way,grey,day,Brightening the world with joy each day.,46,True
55,"Threads of love woven through the years,",years,years,fears,Wiping away all doubts and fears.,70,True
57,Whispers of velvet and hues that sing—,sing,sing,wing,"A twilight garden, where dreams take wing.",22,True
58,"A shadow fades where the flame won’t die,",die,sigh,sky,A silent promise beneath the sky.,42,True
59,"Whispers through the grass where the wild things dance,",dance,dance,trance,"A fleeting glimpse, a magical trance.",26,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,me,"A silent promise, for you and for me.",98,True
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,space,"A gentle promise, nature’s beauty, time and space.",72,True
62,"In every flaw, a whisper of perfection's breath,",breath,breath,death,"A unique beauty, defying even death.",65,True
65,"In the dance of flaw and flawless light,",light,light,night,A shadowed beauty shines through the night.,60,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,space,A timeless beauty in this tranquil space.,19,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,deep,"A silent promise, secrets buried deep.",66,True
68,"When whispered vows turn cold as winter skies,",skies,dies,eyes,A broken heart reflects in tear-filled eyes.,111,True
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,strong,"Where love's gentle melody plays, forever strong.",60,True
70,"In brushstrokes of dawn, wild imagination ascends,",ascends,ascends,transcends,"A canvas of dreams, where the story transcends.",81,True
71,"Like thunder chained to silent stone,",stone,stone,alone,"A heart's deep longing, all alone.",55,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,show,"The moon's pale beauty, a celestial show.",73,True
73,"In the hush between breaths, the sacred stirs,",stirs,years,prefers,"A silent promise, the heart prefers.",81,True
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,maze,maze,"Lost in dreams of starlight, through endless, winding maze.",81,True
75,"A heartbeat hums where light once passed,",passed,past,fast,"A memory lingers, fading fast.",6,True
76,"Colors whisper tales in hues once unknown,",unknown,stone,shown,"A vibrant canvas, beautifully shown.",4,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,wing,"A hopeful echo, on a weary wing.",76,True
78,"A whispered vow can fracture like glass beneath the heel of deceit,",deceit,deceit,complete,"While honest words, though harsh, can mend and make a heart complete.",88,True
79,"It blooms in whispers, not in storm,",storm,storm,warm,"A gentle beauty, safe and warm.",76,True
80,"I walked through the shadows where childhood once stayed,",stayed,stayed,displayed,"A bittersweet memory, gently displayed.",16,True
81,"Whispers of winds through ancient green trees,",trees,trees,breeze,"A gentle solace, carried on the breeze.",85,True
82,"Whispers of yesterday dance on the winds of time,",time,time,paradigm,"A forgotten memory, a beautiful paradigm.",26,True
83,"Together we rise, woven as one,",one,spun,begun,"Our strength and our spirit, forever begun.",5,True
85,"Justice weeps in shadowed halls,",halls,halls,falls,While innocence silently falls.,16,True
86,"Laughter echoes down the lane where sunlit days once played,",played,stayed,swayed,"A memory lingers, sweet and warm, a love that never swayed.",106,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,dream,"A peaceful end to a day, a beautiful, quiet dream.",51,True
88,"The road unwinds its thread through mist and sun,",sun,spun,begun,"A journey's start, a new adventure begun.",46,True
90,"Through shared beginnings and paths that diverge,",diverge,diverge,surge,"Our memories linger, a comforting surge.",30,True
91,"In shadows deep where hope once danced with light,",light,light,night,A silent sorrow lingers through the night.,113,True
92,"In shadow's grip, cannon-light whispers of rage,",rage,rage,page,A nation's sorrow etched on history's page.,66,True
93,"In laughter’s glow, where trust is sown,",sown,stone,known,"A friendship’s bond, forever known.",105,True
94,"Voices echo, yet no hearts collide,",collide,collide,hide,"A digital world, where feelings hide.",41,True
95,"Though shadows stretch where light once bloomed,",bloomed,bloomed,consumed,Hope's gentle promise is never consumed.,74,True
96,"In the shadowed heart where two winds meet,",meet,deceit,bittersweet,"A silent promise, bittersweet.",10,True
97,"Beneath the silence where whispers used to play,",play,grey,day,"A memory lingers, fading day by day.",47,True
98,"With trembling hands, I reach to light the flame,",flame,name,name,"A cozy warmth, whispering my name.",9,True
99,"Two hearts entwined, a promise made,",made,stayed,displayed,A love story beautifully displayed.,67,True
100,"In twilight’s hush, where hearts exhale,",exhale,exhale,tale,"A silent promise, a whispered tale.",33,True
101,"The shadows whisper threats they cannot name,",name,name,flame,While moonlight paints the world in silver flame.,71,True
102,"Silhouettes of solitude etched deep in vacant skies,",skies,dies,lies,"A lonely heart's lament, where silent sorrow lies.",34,True
104,"Footprints in the dust of days gone by,",by,sigh,sky,A silent story whispered to the sky.,94,True
105,"The reaper whispers soft through every age,",age,rage,page,Turning life's vibrant page.,72,True
106,"Amidst the buzz of concrete dreams, the country’s clockwork hums in rural streams,",streams,dreams,schemes,"A quiet solace, nature’s gentle gleam, where weary souls find peace and silent schemes.",57,True
107,"Two hearts entwined where vows take root,",root,root,fruit,"A love so strong, a lasting fruit.",100,True
108,"In the shadows, whispers rise—half angel, half abyss,",abyss,abyss,kiss,"A haunting beauty, veiled in lies, a stolen, fatal kiss.",46,True
109,"Whispers of absence haunt the hollows where their laughter once was,",was,was,pause,"A silent echo of joy, a lingering, wistful pause.",66,True
111,"The thunder in his chest begins to roar,",roar,soar,door,As love's sweet melody knocks at his door.,82,True
113,"Whispers of spring in the thawing snow's breath,",breath,breath,death,"A promise of life, escaping winter's death.",25,True
114,"The elder chants as clocks devour time,",time,time,rhyme,A fading echo in a silent rhyme.,100,True
