,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
36,"Neon hums where tall shadows play,",play,grey,sway,"Lost in a silent, electric sway.",86,True
37,"Whispers coil like shadows in the mind’s tight maze,",maze,maze,haze,"And secrets sleep, a silent, shadowed haze.",54,True
38,"Anger boils like storm in night,",night,light,light,And shadows dance with fading light.,165,True
40,"Whispers coil like shadows, cold and tight,",tight,light,night,Secrets sleep beneath the night.,158,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,today,Hope begins to bloom today.,173,True
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,told,fold,And summer’s warmth begins to fold.,168,True
44,"The shadows stretch where laughter once was bright,",bright,light,night,And memories fade into the night.,61,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,space,"Lost in a silent, silver space.",111,True
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,light,"Lost in the fading, silvered light.",152,True
50,"In whispers of light, the soul finds its creed,",creed,creed,heed,"And echoes softly, a truth to heed.",2,True
53,"The reaper’s shadow lengthens with the noon,",noon,noon,afternoon,And silence falls upon the afternoon.,29,True
54,"Blossoms bloom where laughter finds its way,",way,grey,day,And sunshine warms a hopeful day.,46,True
58,"A shadow fades where the flame won’t die,",die,sigh,sigh,"And hope remains, a whispered sigh.",118,True
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,grace,"And hope returns, a gentle, warming grace.",65,True
65,"In the dance of flaw and flawless light,",light,light,bright,Where shadows softly fade to bright.,149,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,space,Secrets held in time and space.,98,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,asleep,The moonlight softly falls asleep.,80,True
68,"When whispered vows turn cold as winter skies,",skies,dies,sighs,…and memories fade with passing sighs.,45,True
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,throng,And silence blooms where echoes throng.,50,True
71,"Like thunder chained to silent stone,",stone,stone,tone,"The silence screams, a mournful tone.",53,True
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,maze,maze,"Lost in a silver, silent maze.",170,True
76,"Colors whisper tales in hues once unknown,",unknown,stone,sown,And shadows dance where sunlight’s sown.,104,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,thing,"Against the darkness, a hopeful thing.",183,True
80,"I walked through the shadows where childhood once stayed,",stayed,stayed,shade,"And lost its gentle, fading shade.",118,True
82,"Whispers of yesterday dance on the winds of time,",time,time,rhyme,"And shadows lengthen, lost to rhyme.",107,True
83,"Together we rise, woven as one,",one,spun,sun,"And shadows fall, beneath the sun.",9,True
84,"Time’s tapestry threads with echoes of yore,",yore,soar,pour,And memories softly pour.,21,True
85,"Justice weeps in shadowed halls,",halls,halls,walls,Silence echoes through the walls.,25,True
86,"Laughter echoes down the lane where sunlit days once played,",played,stayed,cascade,"And memories linger, a sweet cascade.",68,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,gleam,"And shadows lengthen, softly gleam.",105,True
90,"Through shared beginnings and paths that diverge,",diverge,diverge,surge,"And memories fade, a bittersweet surge.",35,True
91,"In shadows deep where hope once danced with light,",light,light,night,"Now silence reigns, a chilling, endless night.",77,True
93,"In laughter’s glow, where trust is sown,",sown,stone,tone,"And memories bloom, a sweet, bright tone.",41,True
94,"Voices echo, yet no hearts collide,",collide,collide,tide,"Silence whispers, a lonely tide.",158,True
96,"In the shadowed heart where two winds meet,",meet,deceit,bittersweet,"A silent, mournful, bittersweet.",105,True
97,"Beneath the silence where whispers used to play,",play,grey,sway,Now shadows stretch and softly sway.,107,True
98,"With trembling hands, I reach to light the flame,",flame,name,name,"A hopeful, fragile, whispered name.",84,True
101,"The shadows whisper threats they cannot name,",name,name,flame,"And darkness gathers, a chilling flame.",33,True
104,"Footprints in the dust of days gone by,",by,sigh,sigh,Whispers of a forgotten sigh.,98,True
105,"The reaper whispers soft through every age,",age,rage,stage,And shadows dance upon life’s stage.,175,True
107,"Two hearts entwined where vows take root,",root,root,fruit,"And time will bloom, a sweet, enduring fruit.",91,True
111,"The thunder in his chest begins to roar,",roar,soar,pour,"A storm of grief, a silent pour.",130,True
114,"The elder chants as clocks devour time,",time,time,rhyme,"And shadows lengthen, lost to endless rhyme.",87,True
115,"Roots whispered in stories older than stone,",stone,stone,throne,"Beneath the silent, watchful throne.",120,True
116,"Silent nights where echoes dwell,",dwell,dwell,spell,And shadows dance with a mournful spell.,125,True
117,"Amber whispers brush the breeze,",breeze,trees,trees,Secrets softly told to trees.,130,True
118,"Autumn's breath whispers through the trees,",trees,trees,freeze,The leaves begin to softly freeze.,18,True
120,"Pack the sunrise in your pocket, let the roads unwind like time,",time,time,rhyme,And chase the shadows with a hopeful rhyme.,14,True
124,"In the quiet dawn, where prayers and petals rise,",rise,dies,dyes,"The world awakens, bathed in golden dyes.",125,True
125,"A bond untouched by time or fate,",fate,fate,state,A heart that knows a timeless state.,139,True
127,"In twilight's hush, where shadows dare to speak,",speak,speak,streak,"Lost in a dream, a silent, fading streak.",118,True
128,"In starlit whispers, my hopes take flight,",flight,light,light,And shadows dance with fading light.,31,True
130,"The earth whispers tales through rustling green,",green,unseen,keen,And shadows dance where sunlight’s keen.,134,True
132,"Beneath the brush of dawn’s soft light,",light,light,flight,"The shadows flee, a silent flight.",41,True
134,"In the quiet space where heartbeats blend,",blend,blend,penned,"A silent solace, gently penned.",14,True
135,"Whispers of the past linger where old shadows dance,",dance,dance,glance,And time itself begins to glance.,30,True
138,"Whispers of winds through ancient tree songs flow,",flow,glow,slow,And time itself begins to slow.,170,True
139,"Whispers of crimson, symphonies in every thread,",thread,thread,fled,Shadows dance where sunlight fled.,83,True
141,"Winds of freedom whisper where chains forgot to fall,",fall,fall,call,"The sun now shines, a golden call.",71,True
144,"In the golden glow of dusk, I chase the echoes of summer's hush,",hush,hush,blush,And lost within a fading blush.,45,True
145,"Together we rise, bound by more than shared skies,",skies,dies,prize,"And shadows fall, a silent, solemn prize.",178,True
147,"Joy dances bright where kind hearts meet,",meet,deceit,heat,And shadows fade with gentle heat.,101,True
149,"Like morning dew on petals soft and new,",new,new,true,"The world awakens, fresh and true.",170,True
150,"Wings of dawn clash with iron night,",night,light,fight,"Shadows fall, a silent fight.",77,True
152,"Whispers of the past dance on the breeze,",breeze,trees,trees,"Shadows lengthen, lost to trees.",120,True
156,"Two hearts entwined, a vow so true,",true,new,anew,Forever and a day anew.,23,True
158,"Like shadows at the close of day,",day,grey,ray,"The sun descends, a fiery ray.",77,True
159,"Whispers of wind through the emerald embrace,",embrace,embrace,grace,Of ancient trees and sunlit grace.,21,True
165,"Wander the roads where old shadows dance,",dance,dance,glance,And time itself begins to glance.,98,True
168,"Smoke ascends where silent dreams once grew,",grew,new,view,"And shadows lengthen, lost to view.",50,True
170,"In shadows cast by silver lies,",lies,dies,guise,"…a silent, watchful guise.",115,True
171,"In whispered groves where the wild things dance,",dance,dance,glance,Beneath the moon’s ethereal glance.,46,True
172,"City lights hum with restless desire,",desire,desire,fire,"Lost in a velvet, fading fire.",145,True
173,"Time weaves its wisdom, thread by silent thread,",thread,thread,spread,And memories softly spread.,114,True
175,"By the sandbox where the fireflies glow,",glow,glow,low,"Secrets whispered, soft and low.",86,True
176,"Winds of freedom whisper where chains dare not clink,",clink,clink,blink,And hope begins to brightly blink.,165,True
178,"Beneath the map's edge, the unknown beckons soft and wide,",wide,collide,tide,"A whispered promise, a hidden tide.",74,True
179,"A heartbeat’s whisper, a soul’s soft fire,",fire,desire,desire,"Lost in shadows, a silent desire.",98,True
183,"A silent tear on truth's tightrope spin,",spin,spin,begin,"Lost in shadows, where shadows begin.",128,True
187,"Two hearts entwined where the vows take flight,",flight,light,write,And time itself begins to write.,43,True
