,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
44,"The shadows stretch where laughter once was bright,",bright,light,night,A silent echo of the night.,114,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,grace,"The stars emerge, a silent grace.",71,True
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,night,"A fleeting spark, a promise of dawn, in the hush of night.",178,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,erase,"A silent vow, a promise I can’t erase.",165,True
50,"In whispers of light, the soul finds its creed,",creed,creed,need,"A silent hymn, the heart's secret need.",173,True
54,"Blossoms bloom where laughter finds its way,",way,grey,day,"A garden of joy, in spring's soft day.",187,True
57,Whispers of velvet and hues that sing—,sing,sing,spring,"A dance of shadows, a fleeting spring.",66,True
59,"Whispers through the grass where the wild things dance,",dance,dance,glance,A secret shared in the moon's soft glance.,130,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,decree,"In every glance, a silent decree.",158,True
65,"In the dance of flaw and flawless light,",light,light,delight,"A mirror's gaze, a soul's delight.",4,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,place,A secret shared in the hush of the place.,34,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,keep,A silent dance of light and dark we keep.,54,True
68,"When whispered vows turn cold as winter skies,",skies,dies,lies,"The heart, once warm, now bears the weight of lies.",141,True
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,wrong,"Two souls entwined, a dance where love is never wrong.",71,True
71,"Like thunder chained to silent stone,",stone,stone,alone,"The storm is still, but not alone.",191,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,snow,"A star that burns, yet hides in the snow.",158,True
76,"Colors whisper tales in hues once unknown,",unknown,stone,sown,"A canvas of dreams, where the stars are sown.",120,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,sting,"A melody of hope, though the world may sting.",94,True
84,"Time’s tapestry threads with echoes of yore,",yore,soar,explore,"Each moment a stitch, a story to explore.",57,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,dream,"A fleeting moment, yet it holds the promise of a dream.",66,True
88,"The road unwinds its thread through mist and sun,",sun,spun,fun,A silent hymn to the soul's true fun.,66,True
90,"Through shared beginnings and paths that diverge,",diverge,diverge,surge,We find our way through the world's vast surge.,176,True
91,"In shadows deep where hope once danced with light,",light,light,fight,"A secret lies, a truth too bright to fight.",137,True
92,"In shadow's grip, cannon-light whispers of rage,",rage,rage,age,"A silent scream, the night's last gasp of age.",190,True
94,"Voices echo, yet no hearts collide,",collide,collide,hide,In silent halls where shadows hide.,137,True
96,"In the shadowed heart where two winds meet,",meet,deceit,sweet,"A secret blooms, both wild and sweet.",128,True
97,"Beneath the silence where whispers used to play,",play,grey,gray,The moonlight weeps for the lost and the gray.,8,True
98,"With trembling hands, I reach to light the flame,",flame,name,frame,"A flicker dances, casting shadows on the frame.",21,True
99,"Two hearts entwined, a promise made,",made,stayed,fade,"In love's embrace, they'll never fade.",27,True
101,"The shadows whisper threats they cannot name,",name,name,flame,And the moonlight dances on the flame.,77,True
108,"In the shadows, whispers rise—half angel, half abyss,",abyss,abyss,bliss,"A dance of light and dark, where secrets find their bliss.",130,True
113,"Whispers of spring in the thawing snow's breath,",breath,breath,death,"A promise of life, a soft, gentle death.",44,True
114,"The elder chants as clocks devour time,",time,time,climb,The sun's last light is fading from the climb.,87,True
115,"Roots whispered in stories older than stone,",stone,stone,known,"A dance of the earth, where the wild things are known.",50,True
116,"Silent nights where echoes dwell,",dwell,dwell,farewell,A whisper of the soul's farewell.,172,True
117,"Amber whispers brush the breeze,",breeze,trees,ease,"A golden glow, a gentle ease.",133,True
118,"Autumn's breath whispers through the trees,",trees,trees,breeze,"A golden hush, a gentle breeze.",124,True
120,"Pack the sunrise in your pocket, let the roads unwind like time,",time,time,rhyme,"And the world will be your compass, your map, your guide, your rhyme.",101,True
124,"In the quiet dawn, where prayers and petals rise,",rise,dies,skies,"A whispered promise, soft as morning skies.",43,True
128,"In starlit whispers, my hopes take flight,",flight,light,bright,"A dreamer's heart, forever bright.",138,True
130,"The earth whispers tales through rustling green,",green,unseen,unseen,A symphony of life unseen.,187,True
132,"Beneath the brush of dawn’s soft light,",light,light,might,The world awakes with silent might.,133,True
133,"The hush of time whispers tales of the old,",old,told,told,"A silent echo of the past, a story told.",151,True
135,"Whispers of the past linger where old shadows dance,",dance,dance,romance,"In every creak of floorboards, secrets they romance.",99,True
136,"Through storms of time, our roots hold fast,",fast,past,cast,"In every heart, our story's cast.",137,True
137,"Amid the throng, a silent storm,",storm,storm,norm,"A heart that beats, yet feels the norm.",147,True
138,"Whispers of winds through ancient tree songs flow,",flow,glow,know,"A dance of shadows, secrets they know.",150,True
139,"Whispers of crimson, symphonies in every thread,",thread,thread,spread,"A tapestry of shadows, where secrets are spread.",17,True
141,"Winds of freedom whisper where chains forgot to fall,",fall,fall,recall,And the stars above sing a song that no one can recall.,9,True
145,"Together we rise, bound by more than shared skies,",skies,dies,disguise,"In the face of the storm, we find our truest disguise.",147,True
147,"Joy dances bright where kind hearts meet,",meet,deceit,sweet,"A garden of love, where all is sweet.",162,True
149,"Like morning dew on petals soft and new,",new,new,true,The light of hope in every heart is true.,139,True
150,"Wings of dawn clash with iron night,",night,light,fight,"A battle of light and dark, a fight.",45,True
151,"Brushstrokes weave the silent song of imagination’s flame,",flame,name,name,"In every hue, a story told, in every line, a name.",159,True
153,"In youth's tender bloom, my heart first knew the name of flame,",flame,name,shame,"But time, with silent tread, has turned that fire to ash and shame.",46,True
156,"Two hearts entwined, a vow so true,",true,new,due,"In love's embrace, they find their due.",14,True
158,"Like shadows at the close of day,",day,grey,stay,"They fade from sight, yet still they stay.",43,True
159,"Whispers of wind through the emerald embrace,",embrace,embrace,grace,"A dance of shadows, a fleeting grace.",183,True
160,"Whispers of absence haunt the halls where laughter used to play,",play,grey,away,"A silent echo of the love that once was, now gone away.",113,True
162,"Colors whisper secrets where wild imaginations tread,",tread,thread,spread,"In a world of wonder, the magic begins to spread.",88,True
164,"In shadows cast by screens we cling,",cling,sing,sing,To fleeting lights that never sing.,65,True
165,"Wander the roads where old shadows dance,",dance,dance,glance,And find the truth in the stars' soft glance.,185,True
167,"In the quiet heartbeat where the stars dare speak,",speak,speak,seek,"A secret blooms, a dream that won't seek.",120,True
168,"Smoke ascends where silent dreams once grew,",grew,new,view,"A whisper of the past, now lost to view.",178,True
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,light,flight,"A tree that stands alone, but in its shade, a thousand lives take flight.",96,True
170,"In shadows cast by silver lies,",lies,dies,skies,A secret whispered through the skies.,141,True
171,"In whispered groves where the wild things dance,",dance,dance,trance,The moonlight weaves a silver trance.,25,True
172,"City lights hum with restless desire,",desire,desire,fire,A symphony of neon and fire.,84,True
173,"Time weaves its wisdom, thread by silent thread,",thread,thread,spread,"In every moment, life's tapestry is spread.",21,True
175,"By the sandbox where the fireflies glow,",glow,glow,know,I found a key that I used to know.,124,True
176,"Winds of freedom whisper where chains dare not clink,",clink,clink,pink,"A new dawn breaks, and the future is pink.",66,True
178,"Beneath the map's edge, the unknown beckons soft and wide,",wide,collide,abide,"A world of secrets, waiting to be found, a promise to abide.",133,True
180,"Beneath a handshake, a dagger gleams with dew,",dew,new,pursue,"A promise of silence, a vow to pursue.",65,True
182,"The sun spills gold on laughter's tender track,",track,track,back,"A fleeting moment, yet it lingers in the back.",165,True
183,"A silent tear on truth's tightrope spin,",spin,spin,din,A shadowed path where no one din.,135,True
185,"Amidst the swirl of hues and whispered air,",air,despair,dare,A secret blooms where shadows dare.,101,True
187,"Two hearts entwined where the vows take flight,",flight,light,bright,"A love that's boundless, a love so bright.",101,True
188,"A laughter rings where sunshine stirs the air,",air,despair,fair,"B the children's joy, a melody so fair.",120,True
189,"In whispered hearts where silent dreams take flight,",flight,light,light,The stars above in silver light.,168,True
190,"A breath too brief, a shadow that swallows the light,",light,light,delight,"A whisper of sorrow, a fleeting delight.",66,True
191,"In shadowed hands, the torch of might is pressed,",pressed,breast,blessed,"A silent vow, the night's last breath is blessed.",172,True
